ref,proj_mat,proj_density,angle,bumper_mat,bumper_thick,bumper_density,standoff,wall_thick,wall_mat,wall_density,wall_yieldksi,velocity,dc_NNO,dc_modNNO,dc_reimerdes,dc_JSCwhipple,dc_JSCwhipple_mod
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.5000000000000004,0.4047695424748588,0.4648254037091715,0.3287296354145031,0.4047695424748588,0.4047695424748588
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.6,0.3976315176561447,0.45617717446245354,0.3229325581890562,0.3976315176561447,0.3976315176561447
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.7,0.3908098506110953,0.4479202896731825,0.317392407843437,0.3929231185190177,0.39295406588578696
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.8000000000000003,0.3842825244055187,0.4400271635553074,0.3120913035393156,0.39538831357531923,0.3955535534951115
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,3.9000000000000004,0.37802958219881777,0.4324728152244998,0.31337484666777876,0.3978535086316207,0.398153041104436
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.0,0.3720328875754368,0.4252345634891761,0.31694351694284334,0.4003187036879222,0.4007525287137605
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.1,0.36627591794904657,0.4182917640021174,0.32051218721790786,0.40278389874422377,0.403352016323085
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.2,0.3607435857936855,0.4116255820210981,0.32408085749297244,0.40524909380052526,0.4059515039324095
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.3,0.36150967409391727,0.40521879523556614,0.32764952776803696,0.4077142888568268,0.40855099154173397
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.3999999999999995,0.36684487604400257,0.39905562208604056,0.33121819804310154,0.4101794839131283,0.41115047915105846
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.5,0.3721800779940879,0.39312157178505464,0.3347868683181661,0.41264467896942986,0.413749966760383
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.6,0.3775152799441732,0.387403312882709,0.33835553859323064,0.41510987402573135,0.4163494543697075
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.7,0.3828504818942586,0.38188855773675573,0.3419242088682952,0.4175750690820329,0.418948941979032
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.8,0.3881856838443439,0.37656596067033343,0.3454928791433598,0.4200402641383344,0.4215484295883565
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,4.9,0.39352088579442923,0.37142502794855087,0.3490615494184243,0.42250545919463595,0.424147917197681
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.0,0.39885608774451453,0.3664560379926586,0.3526302196934889,0.42497065425093744,0.4267474048070055
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.1,0.40419128969459983,0.3674424026557862,0.3561988899685534,0.42743584930723894,0.42934689241633
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.2,0.4095264916446852,0.3732770261514302,0.359767560243618,0.4299010443635405,0.43194638002565455
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.3,0.4148616935947705,0.3791116496470742,0.3633362305186826,0.432366239419842,0.43454586763497904
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.4,0.42019689554485584,0.38494627314271823,0.3669049007937471,0.43483143447614353,0.43714535524430354
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.5,0.42553209749494114,0.39078089663836224,0.3704735710688117,0.437296629532445,0.439744842853628
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.6,0.43086729944502644,0.3966155201340062,0.3740422413438762,0.4397618245887466,0.4423443304629525
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.7,0.43620250139511174,0.4024501436296502,0.3776109116189408,0.44222701964504807,0.44494381807227706
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.8,0.44153770334519704,0.4082847671252942,0.38117958189400536,0.4446922147013496,0.44754330568160156
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,5.9,0.44687290529528245,0.4141193906209382,0.38474825216906994,0.4471574097576511,0.45014279329092605
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.0,0.45220810724536775,0.4199540141165822,0.38831692244413446,0.44962260481395266,0.45274228090025054
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.1,0.45754330919545305,0.4257886376122262,0.391885592719199,0.45208779987025416,0.45534176850957503
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.2,0.46287851114553835,0.4316232611078702,0.39545426299426356,0.4545529949265557,0.4579412561188996
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.3,0.46821371309562365,0.4374578846035142,0.39902293326932814,0.4570181899828572,0.46054074372822407
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.4,0.47354891504570906,0.4432925080991582,0.4025916035443927,0.45948338503915875,0.46314023133754856
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.5,0.47888411699579436,0.44912713159480216,0.40616027381945724,0.46194858009546025,0.46573971894687305
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.6,0.48421931894587955,0.4549617550904461,0.40972894409452176,0.46441377515176174,0.46833920655619754
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.7,0.48955452089596496,0.4607963785860902,0.41329761436958634,0.4668789702080633,0.4709386941655221
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.8,0.49488972284605026,0.46663100208173414,0.4168662846446509,0.46934416526436484,0.4735381817748466
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,6.9,0.5002249247961356,0.47246562557737815,0.4204349549197155,0.47180936032066634,0.47613766938417107
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.0,0.5055601267462209,0.47830024907302215,0.42400362519478,0.47427455537696783,0.4787371569934956
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.1,0.5108953286963062,0.4841348725686661,0.42757229546984454,0.4767397504332694,0.4813366446028201
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.2,0.5162305306463916,0.4899694960643102,0.4311409657449091,0.47920494548957093,0.4839361322121446
