source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
CR-65222,D-977,Al2017,2.796,0.318,0,6.61,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1116,Nylon,1.145,0.419,0,6.8,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1316,Al,2.796,0.318,0,6.88,Al1100-O,2.71,1.27,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1157,Al,2.796,0.318,0,6.89,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-920,Al2017,2.796,0.318,0,6.89,Al1100-O,2.71,0.0305,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1352,Al,2.796,0.318,0,7.07,Al1100-O,2.71,0.0635,1.27,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1054,Cu,8.79,0.208,0,7.1,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1371,Nylon,1.145,0.419,0,7.13,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1055,Al,2.796,0.305,0,7.16,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,0.635,NP,0
CR-65222,D-1238,Al,2.796,0.318,0,7.19,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1239,Al,2.796,0.318,0,7.19,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1128,Al,2.796,0.318,0,7.29,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1336,Al,2.796,0.318,0,7.29,Al1100-O,2.71,0.0635,1.27,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-903,Al2017,2.796,0.318,0,7.29,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1319,Al,2.796,0.318,0,7.38,Al1100-O,2.71,0.952,5.08,AA7075-T6,2.81,75,0.159,NP,0
CR-65222,D-1329,Al,2.796,0.318,0,7.38,Al7075-T6,2.81,0.635,5.08,AA7075-T6,2.81,75,0.159,NP,0
CR-65222,D-1350,Al,2.796,0.318,0,7.38,Al1100-O,2.71,0.102,2.54,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,C-723,Al,2.796,0.318,0,7.41,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.0813,NP,0
CR-65222,D-1330,Al,2.796,0.318,0,7.44,Al7075-T6,2.81,1.27,5.08,AA7075-T6,2.81,75,0.159,NP,0
CR-65222,D-902,Al2017,2.796,0.318,0,7.46,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1332,Al,2.796,0.318,0,7.47,Al7075-T6,2.81,1.27,5.08,AA7075-T6,2.81,75,0.159,NP,0
CR-65222,D-1333,Al,2.796,0.318,0,7.47,Al1100-O,2.71,0.0635,1.27,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1351,Al,2.796,0.318,0,7.47,Al1100-O,2.71,0.102,1.27,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1125,Al,2.796,0.318,0,7.5,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1331,Al,2.796,0.318,0,7.5,Al7075-T6,2.81,0.952,5.08,AA7075-T6,2.81,75,0.159,NP,0
CR-65222,D-909,Al2017,2.796,0.318,0,7.5,Al1100-O,2.71,0.102,5.08,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1338,Al,2.796,0.318,0,7.53,Al1100-O,2.71,0.0635,5.08,AA7075-T6,2.81,75,0.952,NP,0
CR-65222,D-1366,Al,2.796,0.318,0,7.53,Al7075-T6,2.81,1.57,1.27,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1353,Al,2.796,0.318,0,7.56,Al7075-T6,2.81,1.46,1.27,AA7075-T6,2.81,75,1.27,NP,0
CR-65222,D-1396,Al,2.796,0.318,0,7.56,Al1100-O,2.71,0.0635,5.08,AA1100-O,2.71,5,1.27,NP,0
