source,shotID,proj_diam,proj_mat,proj_density,proj_mass,angle,velocity,bumper_mat,bumper_thick,bumper_density,standoff,wall_mat,wall_thick,wall_density,wall_yield,code,result,perforated_class,spalled_class
-,-,cm,-,g/cm3,g,deg,km/s,-,cm,g/cm3,cm,-,cm,g/cm3,ksi,-,-,-,-
TP-2003-210788,B128,0.634,Al 2017-T4,2.796,0.37432,0,7.45,Al 6061-T6,0.127,2.713,10.16,Al 6061-T6,0.638,2.713,36,E3,SP,0,1
TP-2003-210788,B131,0.783,Al 2017-T4,2.796,0.70347,0,7.26,Al 6061-T6,0.12,2.713,30.48,Al 6061-T6,0.402,2.713,36,E2,NP,0,0
TP-2003-210788,B133,0.783,Al 2017-T4,2.796,0.70325,0,7.43,Al 6061-T6,0.031,2.713,30.48,Al 6061-T6,0.401,2.713,36,E5,P,1,0
TP-2003-210788,B146,0.478,Al 2017-T4,2.796,0.16042,0,7.53,Al 6061-T6,0.127,2.713,10.16,Al 2219-T87,0.318,2.852,52,E2,NP,0,0
TP-2003-210788,B153,0.319,Al 2017-T4,2.796,0.04745,0,7.62,Al 6061-T6,0.081,2.713,5.08,Al 2024-T3,0.406,2.796,47,E1,NP,0,0
TP-2003-210788,B156,0.318,Al 2017-T4,2.796,0.04735,0,7.63,Al 6061-T6,0.064,2.713,10.16,Al 2024-T3,0.16,2.796,47,E1,NP,0,0
TP-2003-210788,B160,0.318,Al 2017-T4,2.796,0.04732,0,7.34,Al 6061-T6,0.076,2.713,5.08,Al 2024-T3,0.254,2.796,47,E1,NP,0,0
TP-2003-210788,B166,0.318,Al 2017-T4,2.796,0.04728,0,7.52,Al 6061-T6,0.081,2.713,5.08,Al 2024-T3,0.203,2.796,47,E3,SP,0,1
TP-2003-210788,B176,0.318,Al 2017-T4,2.796,0.04715,0,7.05,Al 6061-T6,0.081,2.713,5.08,Al 2024-T3,0.229,2.796,47,E1,NP,0,0
TP-2003-210788,B177,1.458,Nylon,1.14,1.85,0,7.34,Al 2024-T3,0.483,2.796,5.08,Al 1100-O,0.635,2.71,23,C5,P,1,0
