source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
TP-2003-210788,86-1,AA99.9%,2.7,0.793,0,6.9,AA6061-T6,2.7,0.159,10.16,AA2219-T87,2.84,57,0.318,P,1
CR-915,D-0920,AA2017-T4,2.8,0.318,0,6.89,AA1100-O,2.71,0.031,5.08,AA7075-T6,2.8,73,0.635,NP,0
CR-915,D-1157,AA2017-T4,2.8,0.318,0,6.89,AA1100-O,2.71,0.102,5.08,AA7075-T6,2.8,73,0.635,NP,0
TP-2003-210788,A1895,AA2017-T4,2.8,0.953,0,6.89,Alclad 7075-T6,2.8,0.159,30.48,AA6061-T6,2.7,40,0.318,NP,0
Reimerdes_2006,EMI-4445,AA99.9%,2.7,0.35,0,6.89,AA2024-T3,2.77,0.046,10,AA7075-T6,2.8,73,0.2,P,1
TP-2003-210788,B606,AA2017-T4,2.8,0.953,65,6.89,AA6061-T6,2.7,0.081,20.32,AA6061-T6,2.7,40,0.635,P,1
AFML-TR-67-324,2059,AA2017-T4,2.8,0.318,0,6.88,AA6061-T6,2.7,0.084,0.64,AA6061-T6,2.7,40,0.856,NP,0
AFML-TR-67-324,2077,AA2017-T4,2.8,0.318,0,6.88,AA6061-T6,2.7,0.257,1.27,AA6061-T6,2.7,40,0.318,NP,0
AFML-TR-67-324,2229,AA2017-T4,2.8,0.318,0,6.88,AA6061-T6,2.7,0.084,0.64,AA6061-T6,2.7,40,0.635,NP,0
AFML-TR-70-135,26,AA2017-T4,2.8,0.318,0,6.88,AA6061-T6,2.7,0.0794,5.08,AA6061-T6,2.7,40,0.123,NP,0
CR-915,D-1316,AA2017-T4,2.8,0.318,0,6.88,AA1100-O,2.71,1.27,5.08,AA7075-T6,2.8,73,0.635,NP,0
CR-4343,151A,AA1100-O,2.71,0.635,45,6.88,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.318,P,1
CR-4343,EHSS1A,AA1100-O,2.71,0.635,0,6.88,AA6061-T6,2.7,0.16,10.16,AA5456-H116,2.66,37,0.318,NP,0
AFML-TR-67-324,2025,AA2017-T4,2.8,0.318,0,6.86,AA6061-T6,2.7,0.084,1.27,AA6061-T6,2.7,40,0.439,P,1
CR-4343,135D,AA1100-O,2.71,0.635,30,6.86,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
AFML-TR-67-324,2099,AA2017-T4,2.8,0.318,0,6.85,AA6061-T6,2.7,0.084,0.64,AA6061-T6,2.7,40,0.648,NP,0
AFML-TR-67-324,2044,AA2017-T4,2.8,0.318,0,6.85,AA6061-T6,2.7,0.084,2.54,AA6061-T6,2.7,40,0.257,NP,0
CR-4343,EHRP2,AA1100-O,2.71,0.795,65,6.85,AA6061-T6,2.7,0.16,10.16,AA5456-H116,2.66,37,0.318,NP,0
AFML-TR-67-324,2091,AA2017-T4,2.8,0.318,0,6.85,AA6061-T6,2.7,0.038,5.08,AA6061-T6,2.7,40,0.257,P,1
AFML-TR-67-324,2018,AA2017-T4,2.8,0.318,0,6.85,AA6061-T6,2.7,0.084,1.27,AA6061-T6,2.7,40,0.257,P,1
AFML-TR-68-257,2091,AA2017-T4,2.8,0.318,0,6.85,AA6061-T6,2.7,0.041,5.08,AA6061-T6,2.7,40,0.257,P,1
CR-4343,108-,AA1100-O,2.71,0.889,0,6.85,AA6061-T6,2.7,0.203,30.48,AA2219-T87,2.84,57,0.318,P,1
AFML-TR-67-324,2050,AA2017-T4,2.8,0.318,0,6.84,AA6061-T6,2.7,0.084,2.54,AA6061-T6,2.7,40,0.206,P,1
CR-4343,106-,AA1100-O,2.71,0.889,45,6.84,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.318,P,1
CR-4343,154A,AA1100-O,2.71,0.475,45,6.83,AA6061-T6,2.7,0.102,10.16,AA2219-T87,2.84,57,0.318,NP,0
TP-2003-210788,A1918,AA2017-T4,2.8,0.953,0,6.83,Alclad 7075-T6,2.8,0.159,38.1,AA2024-T3,2.77,50,0.318,NP,0
CR-4343,EHRP3,AA1100-O,2.71,0.795,45,6.83,AA6061-T6,2.7,0.16,10.16,AA5456-H116,2.66,37,0.318,P,1
TP-2003-210788,A1899,AA2017-T4,2.8,0.953,0,6.83,Alclad 7075-T6,2.8,0.159,15.24,AA2024-T351,2.77,57,0.635,NP,0
AFML-TR-70-135,25,AA2017-T4,2.8,0.318,0,6.82,AA6061-T6,2.7,0.0794,5.08,AA6061-T6,2.7,40,0.141,NP,0
CR-4343,107B,AA1100-O,2.71,0.889,0,6.82,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.635,NP,0
CR-4343,121-1,AA1100-O,2.71,0.762,0,6.82,AA6061-T6,2.7,0.203,15.24,AA2219-T87,2.84,57,0.318,P,1
CR-4343,EH1AP,AA1100-O,2.71,0.795,65,6.82,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
TP-2003-210788,B461,AA2017-T4,2.8,0.319,60,6.81,Alclad 7075-T6,2.8,0.097,14.22,Alclad 7075-T6,2.8,67,0.198,NP,0
CR-4343,EHSS3C,AA1100-O,2.71,0.635,30,6.81,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
Ryan_2011,HD0020153,AA2017-T4,2.8,0.3175,45,6.81,AA6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.254,P,1
CR-915,D-1649,AA2017-T4,2.8,0.318,0,6.8,AA1100-O,2.71,0.102,5.08,AA7075-T6,2.8,73,1.27,NP,0
ESA-HIT,EMI-3443,AA2017-T4,2.8,0.42,65,6.8,AA2219-T851,2.84,0.09,4.5,AA5154-O,2.66,17,0.6,NP,0
ESA-HIT,EMI-3560,AA2017-T4,2.8,0.1044,0,6.8,AA5154-O,2.66,0.1,1,AA5154-O,2.66,17,0.1,NP,0
CR-4343,107-,AA1100-O,2.71,0.889,0,6.8,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.318,P,1
CR-4343,P-34,AA1100-O,2.71,0.635,0,6.8,AA6061-T6,2.7,0.102,10.16,AA2219-T87,2.84,57,0.318,P,1
CR-4343,106-1,AA1100-O,2.71,0.889,60,6.8,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.318,P,1
Ryan_2011,HD0020118,AA2017-T4,2.8,0.3175,60,6.8,AA6061-T6,2.7,0.04525,5.08,AA6061-T6,2.7,40,0.203,P,1
TP-2003-210788,A1921,AA2017-T4,2.8,1.27,0,6.8,Alclad 7075-T6,2.8,0.159,22.86,AA2024-T351,2.77,57,0.635,NP,0
TP-2003-210788,1881,AA2017-T4,2.8,0.079,0,6.79,AA6061-T6,2.7,0.041,5.08,AA6061-T6,2.7,40,0.127,NP,0
AFML-TR-68-257,2217,AA2017-T4,2.8,0.318,0,6.79,AA6061-T6,2.7,0.079,5.08,AA6061-T6,2.7,40,0.14,P,1
CR-4343,EHSS3A,AA1100-O,2.71,0.635,30,6.79,AA6061-T6,2.7,0.16,10.16,AA5456-H116,2.66,37,0.318,P,1
CR-4343,P-16E,AA6061-T6,2.7,0.762,0,6.78,AA6061-T6,2.7,0.16,15.24,AA2219-T87,2.84,57,0.318,P,1
CR-4343,EHSS4A,AA1100-O,2.71,0.635,45,6.78,AA6061-T6,2.7,0.16,10.16,AA5456-H116,2.66,37,0.318,P,1
Piekutowski_CR-4707,4-1359,AA2017-T4,2.8,0.935,0,6.78,AA6061-T6,2.7,0.059,37.8,AA6061-T651,2.7,40,0.635,P,1
GM-DRL-TR-63-225,D-085,AA2017-T4,2.8,0.476,0,6.77,AA2024-T3,2.77,0.122,7.62,AA2024-T3,2.77,50,5.08,NP,0
TP-2003-210788,A1077,AA2017-T4,2.8,0.2,0,6.77,AA6061-T6,2.7,0.41,6,AA6061-T6,2.7,40,0.064,NP,0
TP-2003-210788,B460,AA2017-T4,2.8,0.358,65,6.77,Alclad 7075-T6,2.8,0.102,13.61,Alclad 7075-T6,2.8,67,0.152,NP,0
ESA-HIT,EMI-4318,AA2017-T4,2.8,0.6,0,6.76,AA2017-T4,2.8,0.1,20,AA2017-T4,2.8,40,0.3,NP,0
TP-2003-210788,A2010R2,AA2017-T4,2.8,0.2,16,6.76,Alclad 7075-T6,2.8,0.102,13.61,Alclad 7075-T6,2.8,67,0.152,NP,0
CR-4343,EH4B,AA1100-O,2.71,0.795,0,6.76,AA6061-T6,2.7,0.16,10.16,AA2219-T87,2.84,57,0.318,P,1
TP-2003-210788,A1875,AA2017-T4,2.8,0.953,0,6.75,Alclad 7075-T6,2.8,0.159,30.48,AA6061-T6,2.7,40,0.318,NP,0
CR-4343,228B,AA1100-O,2.71,0.795,0,6.75,AA6061-T6,2.7,0.081,15.24,AA2219-T87,2.84,57,0.16,P,1
CR-4343,2002-C,AA1100-O,2.71,0.635,0,6.75,AA6061-T6,2.7,0.16,15.24,AA2219-T87,2.84,57,0.318,P,1
AFML-TR-67-324,2227,AA2017-T4,2.8,0.318,0,6.74,AA6061-T6,2.7,0.084,1.27,AA6061-T6,2.7,40,0.495,NP,0
TP-2003-210788,A1458,AA2017-T4,2.8,0.238,0,6.74,AA6061-T6,2.7,0.203,1.98,AA6061-T6,2.7,40,0.203,NP,0
AFML-TR-67-324,2026,AA2017-T4,2.8,0.318,0,6.74,AA6061-T6,2.7,0.084,1.27,AA6061-T6,2.7,40,0.478,P,1
CR-4343,107A,AA1100-O,2.71,0.889,0,6.74,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.635,P,1
Piekutowski_CR-4707,4-1287,AA2017-T4,2.8,0.935,0,6.74,AA6061-T6,2.7,0.08,38.1,AA6061-T651,2.7,40,0.635,P,1
TP-2003-210788,A1894,AA2017-T4,2.8,0.953,45,6.74,Alclad 7075-T6,2.8,0.162,30.5,AA2024-T351,2.77,57,0.792,P,1
CR-4343,106B,AA1100-O,2.71,0.953,65,6.73,AA6061-T6,2.7,0.203,10.16,AA2219-T87,2.84,57,0.318,NP,0
ELC_87-163,A231,AA1100-O,2.71,0.317,0,6.73,AA6061-T6,2.7,0.081,5.08,AA2024-T3,2.77,50,0.127,P,1
TP-2003-210788,A1917,AA2017-T4,2.8,0.953,0,6.72,Alclad 7075-T6,2.8,0.159,22.86,AA2024-T351,2.77,57,0.483,NP,0
Piekutowski_CR-4707,4-1283,AA2017-T4,2.8,0.935,0,6.72,AA6061-T6,2.7,0.097,38.1,AA6061-T651,2.7,40,0.635,P,1
TP-2003-210788,A1913,AA2017-T4,2.8,1.27,0,6.71,Alclad 7075-T6,2.8,0.318,50.8,AA6061-T6,2.7,40,0.483,NP,0
Piekutowski_CR-4707,4-1291,AA2017-T4,2.8,0.935,0,6.71,AA6061-T6,2.7,0.155,35.56,AA2219-T87,2.84,57,0.318,P,1
TP-2003-210788,1468,AA2017-T4,2.8,0.081,0,6.7,AA6061-T6,2.7,0.015,2.54,AA2024-T3,2.77,50,0.03,NP,0
ESA-HIT,EMI-4053,AA7075-O,2.8,0.6,0,6.7,AA5083-O,2.66,0.118,12.76,AA2219-T851,2.84,51,0.3,P,1
Ryan_2011,HD9920009,AA2017-T4,2.8,0.3175,0,6.7,AA6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.18034,P,1
Ryan_2011,HD9920066,AA2017-T4,2.8,0.3175,0,6.7,AA6061-T6,2.7,0.07874,5.08,AA6061-T6,2.7,40,0.4064,P,1
Piekutowski_CR-4707,4-1395,AA2017-T4,2.8,0.935,0,6.7,AA6061-T6,2.7,0.025,37.8,AA6061-T651,2.7,40,1.27,P,1
AFML-TR-67-324,2223,AA2017-T4,2.8,0.318,0,6.69,AA6061-T6,2.7,0.084,5.08,AA6061-T6,2.7,40,0.127,P,1
AFML-TR-68-257,2225,AA2017-T4,2.8,0.318,0,6.69,AA6061-T6,2.7,0.079,5.08,AA6061-T6,2.7,40,0.127,P,1
CR-4343,P-35,AA1100-O,2.71,0.889,0,6.69,AA6061-T6,2.7,0.16,15.24,AA2219-T87,2.84,57,0.318,P,1
AFML-TR-67-324,2052,AA2017-T4,2.8,0.318,0,6.68,AA6061-T6,2.7,0.081,10.16,AA6061-T6,2.7,40,0.084,P,1
AFML-TR-67-324,2103,AA2017-T4,2.8,0.318,0,6.68,AA6061-T6,2.7,0.257,5.08,AA6061-T6,2.7,40,0.14,P,1
AFML-TR-68-257,2103,AA2017-T4,2.8,0.318,0,6.68,AA6061-T6,2.7,0.257,5.08,AA6061-T6,2.7,40,0.14,P,1
Piekutowski_CR-4707,4-1353,AA2017-T4,2.8,0.935,0,6.68,AA6061-T6,2.7,0.404,38.1,AA5456-H116,2.66,37,0.318,P,1
