source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,foam_mat,foam_relDensity,foam_poreSize,foam_density,standoff,bumper_mat,bumper_thick,bumper_density,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,,%,PPI,g/cm3,cm,-,cm,g/cm3,,g/cm3,ksi,cm,-,
NASA-TM-2015-218593,8252,AA2017-T4,2.8,0.25,0,6.88,AA6106-T6,7,20,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8257,AA2017-T4,2.8,0.25,45,6.46,AA6106-T6,7,20,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8255,AA2017-T4,2.8,0.25,45,7.1,AA6106-T6,7,20,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8259,AA2017-T4,2.8,0.32,60,7.1,AA6106-T6,7,20,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8423,AA2017-T4,2.8,0.21,0,2.34,AA6106-T6,7,40,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8279,AA2017-T4,2.8,0.34,0,2.62,AA6106-T6,7,40,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8422,AA2017-T4,2.8,0.25,0,2.75,AA6106-T6,7,40,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,8424,AA2017-T4,2.8,0.23,0,4.68,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,9358,AA2017-T4,2.8,0.25,0,5.48,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,9323,AA2017-T4,2.8,0.26,0,5.88,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0508,2.7,AA6061-T6,2.7,40,0.0508,P,1
NASA-TM-2015-218593,8263,AA2017-T4,2.8,0.2,0,6.52,AA6106-T6,7,40,2.7,2.54,AA6061-O,0.0254,2.7,AA6061-O,2.7,8,0.0254,P,1
NASA-TM-2015-218593,9322,AA2017-T4,2.8,0.28,0,6.59,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0508,2.7,AA6061-T6,2.7,40,0.0508,P,1
NASA-TM-2015-218593,9324,AA2017-T4,2.8,0.3,0,6.71,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0508,2.7,AA6061-T6,2.7,40,0.08128,P,1
NASA-TM-2015-218593,9321,AA2017-T4,2.8,0.27,0,6.94,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.04064,2.7,AA6061-T6,2.7,40,0.0508,P,1
NASA-TM-2015-218593,9320,AA2017-T4,2.8,0.3,0,7,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.04064,2.7,AA6061-T6,2.7,40,0.0508,P,1
NASA-TM-2015-218593,9359,AA2017-T4,2.8,0.23,0,7.38,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8420,AA2017-T4,2.8,0.25,45,2.44,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,9360,AA2017-T4,2.8,0.28,45,3.52,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8569,AA2017-T4,2.8,0.27,45,6.66,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,9376,AA2017-T4,2.8,0.34,45,6.72,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0508,P,1
NASA-TM-2015-218593,9377,AA2017-T4,2.8,0.33,45,6.85,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0508,P,1
NASA-TM-2015-218593,9325,AA2017-T4,2.8,0.28,0,6.91,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0508,2.7,AA6061-T6,2.7,40,0.0508,P,1
NASA-TM-2015-218593,9326,AA2017-T4,2.8,0.38,45,6.8,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0508,2.7,AA6061-T6,2.7,40,0.081,P,1
NASA-TM-2015-218593,9327,AA2017-T4,2.8,0.36,45,6.83,AA6106-T6,7,40,2.7,2.54,AA6061-T6,0.0508,2.7,AA6061-T6,2.7,40,0.081,P,1
NASA-TM-2015-218593,8574,AA2017-T4,2.8,0.2,0,6.63,AA6106-T6,4,40,2.7,2.54,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8573,AA2017-T4,2.8,0.52,45,6.98,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
NASA-TM-2015-218593,8613,AA2017-T4,2.8,0.7,60,2.73,AA6106-T6,7,40,2.7,5.08,AA6061-T6,0.0254,2.7,AA6061-T6,2.7,40,0.0254,P,1
